title,link
New in Python: Syntax for variable annotations,http://www.blog.pythonlibrary.org/2017/01/12/new-in-python-syntax-for-variable-annotations/
New in Python: Underscores in Numeric Literals,http://www.blog.pythonlibrary.org/2017/01/11/new-in-python-underscores-in-numeric-literals/
PyDev of the Week: Oleg Broytman,http://www.blog.pythonlibrary.org/2017/01/09/pydev-of-the-week-oleg-broytman/
wxPython Cookbook Artist Interview: Liza Tretyakova,http://www.blog.pythonlibrary.org/2017/01/05/wxpython-cookbook-artist-interview-liza-tretyakova/
PyDev of the Week: Ivan Levkivskyi,http://www.blog.pythonlibrary.org/2017/01/02/pydev-of-the-week-ivan-levkivskyi/
wxPython Cookbook is Officially Released!,http://www.blog.pythonlibrary.org/2016/12/30/wxpython-cookbook-is-officially-released/
PyDev of the Week: Philip House,http://www.blog.pythonlibrary.org/2016/12/26/pydev-of-the-week-philip-house/
PyDev of the Week: Jacob Vanderplas,http://www.blog.pythonlibrary.org/2016/12/19/pydev-of-the-week-jacob-vanderplas/
PyDev of the Week: David Goodger,http://www.blog.pythonlibrary.org/2016/12/12/pydev-of-the-week-david-goodger/
Holiday Sale on Python Books,http://www.blog.pythonlibrary.org/2016/12/05/holiday-sale-on-python-books/
